year,price,mileage,tax,mpg,engineSize,trns_Manual,trns_Semi-Auto,fuel_Hybrid,fuel_Petrol
2018,19990,16414,145,50.4,1.4,True,False,False,True
2018,21495,27198,145,50.4,1.4,True,False,False,True
2018,28995,17166,145,43.5,2.0,False,True,False,True
2018,26990,18283,145,44.1,2.0,False,True,False,True
2018,27995,15076,145,56.5,2.0,False,True,False,False
2017,25995,29330,145,56.5,2.0,False,True,False,False
2017,19995,25520,145,50.4,1.4,True,False,False,True
2020,38534,7521,145,49.6,2.0,False,True,False,False
2019,41995,933,145,45.6,2.0,False,True,False,False
2019,19990,6018,145,52.3,1.6,False,True,False,False
2019,18495,11330,145,42.8,1.5,True,False,False,True
2016,33995,23478,235,42.2,3.0,False,True,False,False
2017,18995,17872,145,64.2,1.6,True,False,False,False
2019,30709,4327,145,39.8,2.0,False,True,False,True
2019,48136,4813,145,33.2,3.0,False,True,False,False
2019,24365,3578,145,47.9,1.6,True,False,False,False
2019,33295,4196,145,47.9,2.0,False,True,False,False
2015,13995,32065,30,55.4,1.4,True,False,False,True
2017,28995,15072,200,47.1,3.0,False,True,False,False
2017,16490,50286,145,61.4,2.0,True,False,False,False
2017,23995,25667,145,40.4,2.0,False,True,False,True
2017,35995,33165,200,47.9,3.0,False,True,False,False
2017,19995,27078,125,50.4,1.4,True,False,False,True
2017,19995,29874,125,50.4,1.4,True,False,False,True
2015,21995,28977,200,47.1,2.0,False,True,False,False
2016,21995,28526,160,50.4,2.0,False,True,False,False
2017,22995,14068,145,54.3,2.0,True,False,False,False
2018,18990,6321,145,50.4,2.0,True,False,False,True
2018,40990,4440,145,37.7,3.0,False,True,False,True
2019,23995,2085,145,51.4,1.6,True,False,False,False
2019,37995,2712,145,38.2,2.0,False,True,False,False
2019,33410,3968,145,47.9,2.0,False,True,False,False
2019,22997,6921,145,47.1,1.0,True,False,False,True
2015,14995,50062,30,57.6,1.2,True,False,False,True
2015,11995,31500,30,57.6,1.4,True,False,False,True
2015,12995,21807,30,57.6,1.4,True,False,False,True
2019,27990,7215,145,46.3,2.0,False,True,False,False
2019,29990,5397,145,50.4,2.0,False,True,False,False
2019,23377,4963,145,42.8,1.5,True,False,False,True
2017,25995,13688,200,40.4,2.0,True,False,False,True
2017,18995,19735,30,57.6,1.4,False,True,False,True
2017,20995,22175,145,47.9,1.4,False,True,False,True
2018,23995,13907,145,49.6,1.4,False,True,False,True
2018,14495,20106,145,67.3,1.0,True,False,False,True
2018,30995,7891,145,40.9,2.0,False,True,False,True
2019,26490,4836,145,48.7,2.0,False,True,False,False
